Red,Nombre de la IPRESS,Código RENIPRESS,Provincia,Distrito
Red Cusco Sur,SAYLLA,00002314,CUSCO,SAYLLA
Red Cusco Norte,SAYLLAFAYA,00006975,CALCA,LAMAY
Red Cusco Norte,HUAMA,00007145,CALCA,LAMAY
Red Cusco Norte,PATABAMBA,00007144,CALCA,TARAY
Red CCE,PONGOÑA,00002365,CANAS,YANAOCA
Red CCE,YANAOCA,00002364,CANAS,YANAOCA
Red CCE,PAMPAPHALLA,00035845,CANCHIS,SICUANI
Red CCE,CHECACUPE,00034929,CANCHIS,CHECACUPE
Red Chumbivilcas,UCCHUCCARCCO,00016328,CHUMBIVILCAS,CHAMACA
Red Chumbivilcas,KAYNO,00035860,CHUMBIVILCAS,LIVITACA
Red Chumbivilcas,VELILLE,00002409,CHUMBIVILCAS,VELILLE
Red CCE,PICHIGUA ESPINAR,00034450,ESPINAR,PICHIGUA
Red La Convencion,PACHIRI,00002438,LA CONVENCION,ECHARATE
Red La Convencion,CHINGANILLA,00002463,LA CONVENCION,OCOBAMBA
Red Cusco Sur,ANDAHUAYLILLAS,00002525,QUISPICANCHI,ANDAHUAYLILLAS
Red Cusco VRAEM,LOBO TAHUANTINSUYO,00002471,LA CONVENCION,MANITEA
Red Cusco Norte,MANCO CAPAC,00002307,CUSCO,SANTIAGO
Red Cusco Norte,PUCYURA ANTA,00002339,ANTA,PUCYURA
Red Cusco Norte,PISAC,00002348,CALCA,PISAC
Red Cusco Norte,CUYO GRANDE,00002350,CALCA,PISAC
Red Cusco Norte,HUACHIBAMBA,00002362,CALCA,YANATILE
Red Cusco Norte,MUYUPAY,00002358,CALCA,YANATILE
Red CCE,HUINCHIRI,00002374,CANAS,QUEHUE
Red CCE,CCOCHAPATA,00032339,CANAS,TUPAC AMARU
Red CCE,TUNGASUCA,00002376,CANAS,TUPAC AMARU
Red CCE,MENTAL COMUNITARIO SICUANI,00026387,CANCHIS,SICUANI
Red CCE,QUEHUAR,00002381,CANCHIS,SICUANI
Red CCE,Sr de Pampacucho-Sicuani,00032923,CANCHIS,SICUANI
Red CCE,PITUMARCA,00034887,CANCHIS,PITUMARCA
Red Chumbivilcas,SAMUE CHUMBIVILCAS,00033097,CHUMBIVILCAS,SANTO TOMAS
Red Chumbivilcas,INGATA,00016329,CHUMBIVILCAS,CHAMACA
Red Chumbivilcas,HUARACO,00008913,CHUMBIVILCAS,COLQUEMARCA
Red Chumbivilcas,KISIO,00016334,CHUMBIVILCAS,LIVITACA
Red Chumbivilcas,YORENCCA,00007112,CHUMBIVILCAS,QUIÑOTA
Red CCE,URINSAYA,00002413,ESPINAR,COPORAQUE
Red La Convencion,CHAHUARES,00002451,LA CONVENCION,ECHARATE
Red Cusco Norte,VERSALLES,00002464,LA CONVENCION,OCOBAMBA
Red Cusco VRAEM,PUERTO MAYO,00002498,LA CONVENCION,PICHARI
Red Cusco VRAEM,NATIVIDAD,00007113,LA CONVENCION,PICHARI
Red Cusco Sur,YAURISQUE,00002509,PARURO,YAURISQUE
Red Cusco Norte,OTOCANI,00007143,PAUCARTAMBO,CHALLABAMBA
Red Cusco Sur,PICHIHUA COLQUEPATA,00002517,PAUCARTAMBO,COLQUEPATA
Red Cusco Sur,PATRIA,00002522,PAUCARTAMBO,KOSÑIPATA
Red La Convencion,SHIVANKORENI,00002452,LA CONVENCION,MEGANTONI
Red Cusco Sur,PATRÓN SAN SEBASTIAN,00030727,CUSCO,SAN JERONIMO
Red Cusco Norte,MENTAL SANTIAGO,00026182,CUSCO,SANTIAGO
Red Cusco Norte,HUAYLLACOCHA,00002334,ANTA,HUAROCONDO
Red Cusco Norte,HUANCALLE,00002354,CALCA,TARAY
Red Cusco Norte,CHANCAMAYO,00007142,CALCA,YANATILE
Red CCE,SANTA BARBARA,00002395,CANCHIS,SAN PABLO
Red CCE,SAN PABLO CANCHIS,00002394,CANCHIS,SAN PABLO
Red Chumbivilcas,PISQUICOCHA,00025739,CHUMBIVILCAS,LIVITACA
Red Chumbivilcas,ANTUYO,00027008,CHUMBIVILCAS,LLUSCO
Red La Convencion,PANGOA,00002440,LA CONVENCION,ECHARATE
Red La Convencion,HUILLCAPAMPA,00002466,LA CONVENCION,QUELLOUNO
Red Cusco VRAEM,SAMANIATO,00002474,LA CONVENCION,KIMBIRI
Red La Convencion,PAMPACONAS,00002486,LA CONVENCION,VILCABAMBA
Red Cusco VRAEM,MENTAL COMUNITARIO PICHARI,00033988,LA CONVENCION,PICHARI
Red Cusco Sur,HUANCA HUANCA,00038491,PARURO,HUANOQUITE
Red Cusco Norte,CRUZPATA,00010758,URUBAMBA,MARAS
Red Cusco Norte,YUCAY,00002551,URUBAMBA,YUCAY
Red Cusco VRAEM,PITIRINQUINI,00015169,LA CONVENCION,UNIÓN ASHANINKA
Red La Convencion,MIARIA,00002435,LA CONVENCION,MEGANTONI
Red Cusco VRAEM,UNION ROSALES,00002473,LA CONVENCION,MANITEA
Red Cusco Sur,ACCAMANA,00038487,CUSCO,SAN JERONIMO
Red CCE,MOSOCLLACTA,00002320,ACOMAYO,MOSOC LLACTA
Red Cusco Sur,PUESTO DE SALUD MARCACONGA,00002325,ACOMAYO,SANGARARA
Red Cusco Norte,COYA,00002343,CALCA,COYA
Red CCE,QUEHUE,00002373,CANAS,QUEHUE
Red Chumbivilcas,TAHUAY,00027009,CHUMBIVILCAS,CAPACMARCA
Red Chumbivilcas,COLLPA,00006748,CHUMBIVILCAS,LLUSCO
Red La Convencion,CHACCO,00002446,LA CONVENCION,ECHARATE
Red Cusco VRAEM,SAN JUAN DE KIMBIRI VRAEM,00002469,LA CONVENCION,KIMBIRI
Red La Convencion,CHONTABAMBA,00006976,LA CONVENCION,VILCABAMBA
Red Cusco Sur,URCOS,00002523,QUISPICANCHI,URCOS
Red Cusco Sur,CCAPANA,00016335,QUISPICANCHI,CCATCA
Red Cusco Norte,OCCOTUAN,00002544,URUBAMBA,CHINCHERO
Red Cusco Norte,HUAYLLABAMBA,00002545,URUBAMBA,HUAYLLABAMBA
Red Cusco VRAEM,CHIRUMPIARI,00002470,LA CONVENCION,CIELO PUNCO
Red La Convencion,NUEVO MUNDO,00002437,LA CONVENCION,MEGANTONI
Red La Convencion,KIRIGUETI,00002426,LA CONVENCION,MEGANTONI
Red Cusco Sur,SANTA ROSA,00002303,CUSCO,SAN SEBASTIAN
Red Cusco Norte,WANCHAQ,00002315,CUSCO,WANCHAQ
Red Cusco Norte,ANTA,00002326,ANTA,ANTA
Red Cusco Norte,COMPONE,00002328,ANTA,ANTA
Red Cusco Norte,QUESQUENTO,00002360,CALCA,YANATILE
Red CCE,CHECCA,00002366,CANAS,CHECCA
Red CCE,LANGUI,00002369,CANAS,LANGUI
Hospital,ALFREDO CALLO RODRIGUEZ,00002378,CANCHIS,SICUANI
Red CCE,HERCCA,00002379,CANCHIS,SICUANI
Red Chumbivilcas,MELLOTOTORA,00006982,CHUMBIVILCAS,SANTO TOMAS
Red Chumbivilcas,SANTO TOMAS,00002398,CHUMBIVILCAS,SANTO TOMAS
Red Chumbivilcas,CHAMACA,00002402,CHUMBIVILCAS,CHAMACA
Red Chumbivilcas,YANQUE,00012932,CHUMBIVILCAS,COLQUEMARCA
Red Chumbivilcas,QUIÑOTA,00002408,CHUMBIVILCAS,QUIÑOTA
Red CCE,PALLPATA,00002416,ESPINAR,PALLPATA
